index,question,options,option1,option2,option3,option4,answer,explanation
1,In _______ information is recorded magnetically on platters,"['a) magnetic disks', 'b) electrical disks', 'c) assemblies', 'd) cylinders']",a) magnetic disks,b) electrical disks,c) assemblies,d) cylinders,a,None.
2,The heads of the magnetic disk are attached to a _____ that moves all the heads as a unit,"['a) spindle', 'b) disk arm', 'c) track', 'd) none of the mentioned']",a) spindle,b) disk arm,c) track,d) none of the mentioned,b,None.
3,The set of tracks that are at one arm position make up a ___________,"['a) magnetic disks', 'b) electrical disks', 'c) assemblies', 'd) cylinders']",a) magnetic disks,b) electrical disks,c) assemblies,d) cylinders,d,None.
4,The time taken to move the disk arm to the desired cylinder is called the ____________,"['a) positioning time', 'b) random access time', 'c) seek time', 'd) rotational latency']",a) positioning time,b) random access time,c) seek time,d) rotational latency,c,None.
5,The time taken for the desired sector to rotate to the disk head is called ____________,"['a) positioning time', 'b) random access time', 'c) seek time', 'd) rotational latency']",a) positioning time,b) random access time,c) seek time,d) rotational latency,d,None.
6,"When the head damages the magnetic surface, it is known as _________","['a) disk crash', 'b) head crash', 'c) magnetic damage', 'd) all of the mentioned']",a) disk crash,b) head crash,c) magnetic damage,d) all of the mentioned,b,None.
7,A floppy disk is designed to rotate ___________ as compared to a hard disk drive,"['a) faster', 'b) slower', 'c) at the same speed', 'd) none of the mentioned']",a) faster,b) slower,c) at the same speed,d) none of the mentioned,b,None.
8,What is the host controller?,"['a) controller built at the end of each disk', 'b) controller at the computer end of the bus', 'c) all of the mentioned', 'd) none of the mentioned']",a) controller built at the end of each disk,b) controller at the computer end of the bus,c) all of the mentioned,d) none of the mentioned,b,None.
9,"______ controller sends the command placed into it, via messages to the _____ controller","['a) host, host', 'b) disk, disk', 'c) host, disk', 'd) disk, host']","a) host, host","b) disk, disk","c) host, disk","d) disk, host",c,None.
10,What is the disk bandwidth?,"['a) the total number of bytes transferred', 'b) total time between the first request for service and the completion on the last transfer', 'c) the total number of bytes transferred divided by the total time between the first request for service and the completion on the last transfer', 'd) none of the mentioned']",a) the total number of bytes transferred,b) total time between the first request for service and the completion on the last transfer,c) the total number of bytes transferred divided by the total time between the first request for service and the completion on the last transfer,d) none of the mentioned,c,None.
