index,question,options,option1,option2,option3,option4,answer,explanation
1,The ability to move around within a media stream is known as ___________,"['a) buffering', 'b) random access', 'c) access', 'd) sequential access']",a) buffering,b) random access,c) access,d) sequential access,b,None.
2,What are the two types of real time streaming?,"['a) live & on demand streaming', 'b) dead & static streaming', 'c) static & on demand streaming', 'd) on demand streaming']",a) live & on demand streaming,b) dead & static streaming,c) static & on demand streaming,d) on demand streaming,a,None.
3,Random access is not allowed in ___________,"['a) live streaming', 'b) dead streaming', 'c) static streaming', 'd) on demand streaming']",a) live streaming,b) dead streaming,c) static streaming,d) on demand streaming,a,None.
4,The streaming that takes place as the event is occurring is ___________,"['a) live streaming', 'b) dead streaming', 'c) static streaming', 'd) on demand streaming']",a) live streaming,b) dead streaming,c) static streaming,d) on demand streaming,d,None.
5,"For a computer to deliver continuous media it must guarantee the specific rate and timing requirements, also known as ___________","['a) deadline', 'b) quality of service', 'c) period', 'd) burst time']",a) deadline,b) quality of service,c) period,d) burst time,b,None.
6,For QOS to be implemented properly ___________,"['a) file systems must be efficient to meet the rate requirements of continuous media', 'b) network protocols must support bandwidth requirements while minimizing delay and jitter', 'c) all of the mentioned', 'd) none of the mentioned']",a) file systems must be efficient to meet the rate requirements of continuous media,b) network protocols must support bandwidth requirements while minimizing delay and jitter,c) all of the mentioned,d) none of the mentioned,c,None.
7,What will happen once a file is compressed?,"['a) it has a better quality', 'b) it takes up less space for storage', 'c) it cannot be delivered to the client more quickly', 'd) none of the mentioned']",a) it has a better quality,b) it takes up less space for storage,c) it cannot be delivered to the client more quickly,d) none of the mentioned,b,None.
8,Compression ratio is the ratio of ___________,"['a) the original file size to the size of the compressed file', 'b) the number of pixels in a frame of the original size to those in a frame of the compressed file', 'c) compressed file size to the original file size', 'd) none of the mentioned']",a) the original file size to the size of the compressed file,b) the number of pixels in a frame of the original size to those in a frame of the compressed file,c) compressed file size to the original file size,d) none of the mentioned,a,None.
9,Lossy and lossless are classifications of ___________,"['a) multimedia storage systems', 'b) files', 'c) compression algorithms', 'd) all of the mentioned']",a) multimedia storage systems,b) files,c) compression algorithms,d) all of the mentioned,c,None.
10,Lossy techniques provide ___________ when compared to lossless techniques,"['a) lower compression ratios', 'b) much higher compression ratios', 'c) similar compression ratios', 'd) none of the mentioned']",a) lower compression ratios,b) much higher compression ratios,c) similar compression ratios,d) none of the mentioned,b,None.
