index,question,options,option1,option2,option3,option4,answer,explanation
1,The three major methods of allocating disk space that are in wide use are _____________,"['a) contiguous', 'b) linked', 'c) indexed', 'd) all of the mentioned']",a) contiguous,b) linked,c) indexed,d) all of the mentioned,d,None.
2,In contiguous allocation _____________,"['a) each file must occupy a set of contiguous blocks on the disk', 'b) each file is a linked list of disk blocks', 'c) all the pointers to scattered blocks are placed together in one location', 'd) none of the mentioned']",a) each file must occupy a set of contiguous blocks on the disk,b) each file is a linked list of disk blocks,c) all the pointers to scattered blocks are placed together in one location,d) none of the mentioned,a,None.
3,In linked allocation _____________,"['a) each file must occupy a set of contiguous blocks on the disk', 'b) each file is a linked list of disk blocks', 'c) all the pointers to scattered blocks are placed together in one location', 'd) none of the mentioned']",a) each file must occupy a set of contiguous blocks on the disk,b) each file is a linked list of disk blocks,c) all the pointers to scattered blocks are placed together in one location,d) none of the mentioned,b,None.
4,In indexed allocation _____________,"['a) each file must occupy a set of contiguous blocks on the disk', 'b) each file is a linked list of disk blocks', 'c) all the pointers to scattered blocks are placed together in one location', 'd) none of the mentioned']",a) each file must occupy a set of contiguous blocks on the disk,b) each file is a linked list of disk blocks,c) all the pointers to scattered blocks are placed together in one location,d) none of the mentioned,c,None.
5,"On systems where there are multiple operating system, the decision to load a particular one is done by _____________","['a) boot loader', 'b) bootstrap', 'c) process control block', 'd) file control block']",a) boot loader,b) bootstrap,c) process control block,d) file control block,a,None.
6,The VFS (virtual file system) activates file system specific operations to handle local requests according to their _______,"['a) size', 'b) commands', 'c) timings', 'd) file system types']",a) size,b) commands,c) timings,d) file system types,d,None.
7,What is the real disadvantage of a linear list of directory entries?,"['a) size of the linear list in memory', 'b) linear search to find a file', 'c) it is not reliable', 'd) all of the mentioned']",a) size of the linear list in memory,b) linear search to find a file,c) it is not reliable,d) all of the mentioned,b,None.
8,Contiguous allocation of a file is defined by _____________,"['a) disk address of the first block & length', 'b) length & size of the block', 'c) size of the block', 'd) total size of the file']",a) disk address of the first block & length,b) length & size of the block,c) size of the block,d) total size of the file,a,None.
9,One difficulty of contiguous allocation is _____________,"['a) finding space for a new file', 'b) inefficient', 'c) costly', 'd) time taking']",a) finding space for a new file,b) inefficient,c) costly,d) time taking,a,None.
10,_______ and ________ are the most common strategies used to select a free hole from the set of available holes,"['a) First fit, Best fit', 'b) Worst fit, First fit', 'c) Best fit, Worst fit', 'd) None of the mentioned']","a) First fit, Best fit","b) Worst fit, First fit","c) Best fit, Worst fit",d) None of the mentioned,a,None.
11,The first fit and best fit algorithms suffer from _____________,"['a) internal fragmentation', 'b) external fragmentation', 'c) starvation', 'd) all of the mentioned']",a) internal fragmentation,b) external fragmentation,c) starvation,d) all of the mentioned,b,None.
12,To solve the problem of external fragmentation ________ needs to be done periodically,"['a) compaction', 'b) check', 'c) formatting', 'd) replacing memory']",a) compaction,b) check,c) formatting,d) replacing memory,a,None.
13,If too little space is allocated to a file _____________,"['a) the file will not work', 'b) there will not be any space for the data, as the FCB takes it all', 'c) the file cannot be extended', 'd) the file cannot be opened']",a) the file will not work,"b) there will not be any space for the data, as the FCB takes it all",c) the file cannot be extended,d) the file cannot be opened,c,None.
