index,question,options,option1,option2,option3,option4,answer,explanation
1,A better way of contiguous allocation to extend the file size is _____________,"['a) adding an extent (another chunk of contiguous space)', 'b) adding an index table to the first contiguous block', 'c) adding pointers into the first contiguous block', 'd) none of the mentioned']",a) adding an extent (another chunk of contiguous space),b) adding an index table to the first contiguous block,c) adding pointers into the first contiguous block,d) none of the mentioned,a,None.
2,"If the extents are too large, then what is the problem that comes in?","['a) internal fragmentation', 'b) external fragmentation', 'c) starvation', 'd) all of the mentioned']",a) internal fragmentation,b) external fragmentation,c) starvation,d) all of the mentioned,a,None.
3,The FAT is used much as a _________,"['a) stack', 'b) linked list', 'c) data', 'd) pointer']",a) stack,b) linked list,c) data,d) pointer,b,None.
4,A section of disk at the beginning of each partition is set aside to contain the table in _____________,"['a) fat', 'b) linked allocation', 'c) hashed allocation', 'd) indexed allocation']",a) fat,b) linked allocation,c) hashed allocation,d) indexed allocation,a,None.
5,Contiguous allocation has two problems _________ and _________ that linked allocation solves,"['a) external – fragmentation & size – declaration', 'b) internal – fragmentation & external – fragmentation', 'c) size – declaration & internal – fragmentation', 'd) memory – allocation & size – declaration']",a) external – fragmentation & size – declaration,b) internal – fragmentation & external – fragmentation,c) size – declaration & internal – fragmentation,d) memory – allocation & size – declaration,a,None.
6,Each _______ has its own index block,"['a) partition', 'b) address', 'c) file', 'd) all of the mentioned']",a) partition,b) address,c) file,d) all of the mentioned,c,None.
7,Indexed allocation _________ direct access,"['a) supports', 'b) does not support', 'c) is not related to', 'd) none of the mentioned']",a) supports,b) does not support,c) is not related to,d) none of the mentioned,a,None.
8,The pointer overhead of indexed allocation is generally _________ the pointer overhead of linked allocation,"['a) less than', 'b) equal to', 'c) greater than', 'd) keeps varying with']",a) less than,b) equal to,c) greater than,d) keeps varying with,c,None.
9,"For any type of access, contiguous allocation requires ______ access to get a disk block","['a) only one', 'b) at least two', 'c) exactly two', 'd) none of the mentioned']",a) only one,b) at least two,c) exactly two,d) none of the mentioned,a,We can easily keep the initial address of the file in memory and calculate immediately the disk address of the ith block and read it directly.
10,"Consider a disk where blocks 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 17, 18, 25, 26 and 27 are free and the rest of the blocks are allocated","['a) 10000110000001110011111100011111…', 'b) 110000110000001110011111100011111…', 'c) 01111001111110001100000011100000…', 'd) 001111001111110001100000011100000…']",a) 10000110000001110011111100011111…,b) 110000110000001110011111100011111…,c) 01111001111110001100000011100000…,d) 001111001111110001100000011100000…,d,None.
