index,question,options,option1,option2,option3,option4,answer,explanation
1,Which of the following page replacement algorithms suffers from Belady’s Anomaly?,"['a) Optimal replacement', 'b) LRU', 'c) FIFO', 'd) Both optimal replacement and FIFO']",a) Optimal replacement,b) LRU,c) FIFO,d) Both optimal replacement and FIFO,c,None.
2,"A process refers to 5 pages, A, B, C, D, E in the order : A, B, C, D, A, B, E, A, B, C, D, E","['a) 8', 'b) 10', 'c) 9', 'd) 7']",a) 8,b) 10,c) 9,d) 7,c,None.
3,"A process refers to 5 pages, A, B, C, D, E in the order : A, B, C, D, A, B, E, A, B, C, D, E","['a) decreases', 'b) increases', 'c) remains the same', 'd) none of the mentioned']",a) decreases,b) increases,c) remains the same,d) none of the mentioned,b,None.
4,"A memory page containing a heavily used variable that was initialized very early and is in constant use is removed, then the page replacement algorithm used is ____________","['a) LRU', 'b) LFU', 'c) FIFO', 'd) None of the mentioned']",a) LRU,b) LFU,c) FIFO,d) None of the mentioned,c,None.
5,A virtual memory system uses First In First Out (FIFO) page replacement policy and allocates a fixed number of frames to a process,"['P : Increasing the number of page frames allocated to a process sometimes increases the page fault rate', 'Q : Some programs do not exhibit locality of reference', 'Which of the following is TRUE?', 'a) Both P and Q are true, and Q is the reason for P']",P : Increasing the number of page frames allocated to a process sometimes increases the page fault rate,Q : Some programs do not exhibit locality of reference,Which of the following is TRUE?,"a) Both P and Q are true, and Q is the reason for P",c,None.
6,Users _______ that their processes are running on a paged system,"['a) are aware', 'b) are unaware', 'c) may unaware', 'd) none of the mentioned']",a) are aware,b) are unaware,c) may unaware,d) none of the mentioned,b,None.
7,"If no frames are free, _____ page transfer(s) is/are required","['a) one', 'b) two', 'c) three', 'd) four']",a) one,b) two,c) three,d) four,b,None.
8,"When a page is selected for replacement, and its modify bit is set ____________","['a) the page is clean', 'b) the page has been modified since it was read in from the disk', 'c) the page is dirty', 'd) the page has been modified since it was read in from the disk & page is dirty']",a) the page is clean,b) the page has been modified since it was read in from the disk,c) the page is dirty,d) the page has been modified since it was read in from the disk & page is dirty,d,None.
9,The aim of creating page replacement algorithms is to ____________,"['a) replace pages faster', 'b) increase the page fault rate', 'c) decrease the page fault rate', 'd) to allocate multiple pages to processes']",a) replace pages faster,b) increase the page fault rate,c) decrease the page fault rate,d) to allocate multiple pages to processes,c,None.
10,A FIFO replacement algorithm associates with each page the _______,"['a) time it was brought into memory', 'b) size of the page in memory', 'c) page after and before it', 'd) all of the mentioned']",a) time it was brought into memory,b) size of the page in memory,c) page after and before it,d) all of the mentioned,a,None.
11,What is the Optimal page – replacement algorithm?,"['a) Replace the page that has not been used for a long time', 'b) Replace the page that has been used for a long time', 'c) Replace the page that will not be used for a long time', 'd) None of the mentioned']",a) Replace the page that has not been used for a long time,b) Replace the page that has been used for a long time,c) Replace the page that will not be used for a long time,d) None of the mentioned,c,None.
12,"Optimal page – replacement algorithm is difficult to implement, because ____________","['a) it requires a lot of information', 'b) it requires future knowledge of the reference string', 'c) it is too complex', 'd) it is extremely expensive']",a) it requires a lot of information,b) it requires future knowledge of the reference string,c) it is too complex,d) it is extremely expensive,b,None.
13,LRU page – replacement algorithm associates with each page the ______,"['a) time it was brought into memory', 'b) the time of that page’s last use', 'c) page after and before it', 'd) all of the mentioned']",a) time it was brought into memory,b) the time of that page’s last use,c) page after and before it,d) all of the mentioned,b,None.
14,"For 3 page frames, the following is the reference string:","['7 0 1 2 0 3 0 4 2 3 0 3 2 1 2 0 1 7 0 1', 'How many page faults does the LRU page replacement algorithm produce?', 'a) 10', 'b) 15']",7 0 1 2 0 3 0 4 2 3 0 3 2 1 2 0 1 7 0 1,How many page faults does the LRU page replacement algorithm produce?,a) 10,b) 15,d,None.
15,What are the two methods of the LRU page replacement policy that can be implemented in hardware?,"['a) Counters', 'b) RAM & Registers', 'c) Stack & Counters', 'd) Registers']",a) Counters,b) RAM & Registers,c) Stack & Counters,d) Registers,c,None.
