index,question,options,option1,option2,option3,option4,answer,explanation
1,The main memory accommodates ____________,"['a) operating system', 'b) cpu', 'c) user processes', 'd) all of the mentioned']",a) operating system,b) cpu,c) user processes,d) all of the mentioned,a,None.
2,What is the operating system?,"['a) in the low memory', 'b) in the high memory', 'c) either low or high memory (depending on the location of interrupt vector)', 'd) none of the mentioned']",a) in the low memory,b) in the high memory,c) either low or high memory (depending on the location of interrupt vector),d) none of the mentioned,c,None.
3,In contiguous memory allocation ____________,"['a) each process is contained in a single contiguous section of memory', 'b) all processes are contained in a single contiguous section of memory', 'c) the memory space is contiguous', 'd) none of the mentioned']",a) each process is contained in a single contiguous section of memory,b) all processes are contained in a single contiguous section of memory,c) the memory space is contiguous,d) none of the mentioned,a,None.
4,The relocation register helps in ____________,"['a) providing more address space to processes', 'b) a different address space to processes', 'c) to protect the address spaces of processes', 'd) none of the mentioned']",a) providing more address space to processes,b) a different address space to processes,c) to protect the address spaces of processes,d) none of the mentioned,c,None.
5,"With relocation and limit registers, each logical address must be _______ the limit register","['a) less than', 'b) equal to', 'c) greater than', 'd) none of the mentioned']",a) less than,b) equal to,c) greater than,d) none of the mentioned,a,None.
6,The operating system and the other processes are protected from being modified by an already running process because ____________,"['a) they are in different memory spaces', 'b) they are in different logical addresses', 'c) they have a protection algorithm', 'd) every address generated by the CPU is being checked against the relocation and limit registers']",a) they are in different memory spaces,b) they are in different logical addresses,c) they have a protection algorithm,d) every address generated by the CPU is being checked against the relocation and limit registers,d,None.
7,Transient operating system code is code that ____________,"['a) is not easily accessible', 'b) comes and goes as needed', 'c) stays in the memory always', 'd) never enters the memory space']",a) is not easily accessible,b) comes and goes as needed,c) stays in the memory always,d) never enters the memory space,b,None.
8,"Using transient code, _______ the size of the operating system during program execution","['a) increases', 'b) decreases', 'c) changes', 'd) maintains']",a) increases,b) decreases,c) changes,d) maintains,c,None.
9,"When memory is divided into several fixed sized partitions, each partition may contain ________","['a) exactly one process', 'b) at least one process', 'c) multiple processes at once', 'd) none of the mentioned']",a) exactly one process,b) at least one process,c) multiple processes at once,d) none of the mentioned,a,None.
10,"In fixed size partition, the degree of multiprogramming is bounded by ___________","['a) the number of partitions', 'b) the CPU utilization', 'c) the memory size', 'd) all of the mentioned']",a) the number of partitions,b) the CPU utilization,c) the memory size,d) all of the mentioned,a,None
11,"The first fit, best fit and worst fit are strategies to select a ______","['a) process from a queue to put in memory', 'b) processor to run the next process', 'c) free hole from a set of available holes', 'd) all of the mentioned']",a) process from a queue to put in memory,b) processor to run the next process,c) free hole from a set of available holes,d) all of the mentioned,c,None.
