index,question,options,option1,option2,option3,option4,answer,explanation
1,Each entry in a translation lookaside buffer (TLB) consists of ____________,"['a) key', 'b) value', 'c) bit value', 'd) constant']",a) key,b) value,c) bit value,d) constant,a,None.
2,"If a page number is not found in the TLB, then it is known as a ____________","['a) TLB miss', 'b) Buffer miss', 'c) TLB hit', 'd) All of the mentioned']",a) TLB miss,b) Buffer miss,c) TLB hit,d) All of the mentioned,a,None.
3,An ______ uniquely identifies processes and is used to provide address space protection for that process,"['a) address space locator', 'b) address space identifier', 'c) address process identifier', 'd) none of the mentioned']",a) address space locator,b) address space identifier,c) address process identifier,d) none of the mentioned,b,None.
4,The percentage of times a page number is found in the TLB is known as ____________,"['a) miss ratio', 'b) hit ratio', 'c) miss percent', 'd) none of the mentioned']",a) miss ratio,b) hit ratio,c) miss percent,d) none of the mentioned,b,None.
5,Memory protection in a paged environment is accomplished by ____________,"['a) protection algorithm with each page', 'b) restricted access rights to users', 'c) restriction on page visibility', 'd) protection bit with each page']",a) protection algorithm with each page,b) restricted access rights to users,c) restriction on page visibility,d) protection bit with each page,d,None.
6,"When the valid – invalid bit is set to valid, it means that the associated page ____________","['a) is in the TLB', 'b) has data in it', 'c) is in the process’s logical address space', 'd) is the system’s physical address space']",a) is in the TLB,b) has data in it,c) is in the process’s logical address space,d) is the system’s physical address space,c,None.
7,Illegal addresses are trapped using the _____ bit,"['a) error', 'b) protection', 'c) valid – invalid', 'd) access']",a) error,b) protection,c) valid – invalid,d) access,c,None.
8,"When there is a large logical address space, the best way of paging would be ____________","['a) not to page', 'b) a two level paging algorithm', 'c) the page table itself', 'd) all of the mentioned']",a) not to page,b) a two level paging algorithm,c) the page table itself,d) all of the mentioned,b,None.
9,"In a paged memory, the page hit ratio is 0","['a) 3.0 ns', 'b) 68.0 ns', 'c) 68.5 ns', 'd) 78.5 ns']",a) 3.0 ns,b) 68.0 ns,c) 68.5 ns,d) 78.5 ns,c,None.
10,"To obtain better memory utilization, dynamic loading is used","['a) special support from hardware is required', 'b) special support from operating system is essential', 'c) special support from both hardware and operating system is essential', 'd) user programs can implement dynamic loading without any special support from hardware or operating system']",a) special support from hardware is required,b) special support from operating system is essential,c) special support from both hardware and operating system is essential,d) user programs can implement dynamic loading without any special support from hardware or operating system,d,None.
11,"In paged memory systems, if the page size is increased, then the internal fragmentation generally ____________","['a) becomes less', 'b) becomes more', 'c) remains constant', 'd) none of the mentioned']",a) becomes less,b) becomes more,c) remains constant,d) none of the mentioned,b,None.
