index,question,options,option1,option2,option3,option4,answer,explanation
1,The address generated by the CPU is referred to as ____________,"['a) Physical address', 'b) Logical address', 'c) Neither physical nor logical', 'd) None of the mentioned']",a) Physical address,b) Logical address,c) Neither physical nor logical,d) None of the mentioned,b,None.
2,The address loaded into the memory address register of the memory is referred to as ____________,"['a) Physical address', 'b) Logical address', 'c) Neither physical nor logical', 'd) None of the mentioned']",a) Physical address,b) Logical address,c) Neither physical nor logical,d) None of the mentioned,a,None.
3,The run time mapping from virtual to physical addresses is done by a hardware device called the ____________,"['a) Virtual to physical mapper', 'b) Memory management unit', 'c) Memory mapping unit', 'd) None of the mentioned']",a) Virtual to physical mapper,b) Memory management unit,c) Memory mapping unit,d) None of the mentioned,b,None.
4,The base register is also known as the ____________,"['a) basic register', 'b) regular register', 'c) relocation register', 'd) delocation register']",a) basic register,b) regular register,c) relocation register,d) delocation register,c,None.
5,The size of a process is limited to the size of ____________,"['a) physical memory', 'b) external storage', 'c) secondary storage', 'd) none of the mentioned']",a) physical memory,b) external storage,c) secondary storage,d) none of the mentioned,a,None.
6,"If execution time binding is being used, then a process ______ be swapped to a different memory space","['a) has to be', 'b) can never', 'c) must', 'd) may']",a) has to be,b) can never,c) must,d) may,d,None.
7,Swapping requires a _________,"['a) motherboard', 'b) keyboard', 'c) monitor', 'd) backing store']",a) motherboard,b) keyboard,c) monitor,d) backing store,d,None.
8,The backing store is generally a ____________,"['a) fast disk', 'b) disk large enough to accommodate copies of all memory images for all users', 'c) disk to provide direct access to the memory images', 'd) all of the mentioned']",a) fast disk,b) disk large enough to accommodate copies of all memory images for all users,c) disk to provide direct access to the memory images,d) all of the mentioned,d,None.
9,The ________ consists of all processes whose memory images are in the backing store or in memory and are ready to run,"['a) wait queue', 'b) ready queue', 'c) cpu', 'd) secondary storage']",a) wait queue,b) ready queue,c) cpu,d) secondary storage,b,None.
10,The _________ time in a swap out of a running process and swap in of a new process into the memory is very high,"['a) context – switch', 'b) waiting', 'c) execution', 'd) all of the mentioned']",a) context – switch,b) waiting,c) execution,d) all of the mentioned,a,None.
11,The major part of swap time is _______ time,"['a) waiting', 'b) transfer', 'c) execution', 'd) none of the mentioned']",a) waiting,b) transfer,c) execution,d) none of the mentioned,b,None.
12,"Swapping _______ be done when a process has pending I/O, or has to execute I/O operations only into operating system buffers","['a) must', 'b) can', 'c) must never', 'd) maybe']",a) must,b) can,c) must never,d) maybe,c,None.
13,Swap space is allocated ____________,"['a) as a chunk of disk', 'b) separate from a file system', 'c) into a file system', 'd) all of the mentioned']",a) as a chunk of disk,b) separate from a file system,c) into a file system,d) all of the mentioned,a,None.
